Package                                  Version         Latest          Type
---------------------------------------- --------------- --------------- -----
aiohttp                                  3.9.5           3.11.13         wheel
aiosignal                                1.3.1           1.3.2           wheel
annotated-types                          0.6.0           0.7.0           wheel
anyio                                    4.3.0           4.8.0           wheel
asttokens                                2.4.1           3.0.0           wheel
attrs                                    23.2.0          25.1.0          wheel
bcrypt                                   4.2.0           4.3.0           wheel
beautifulsoup4                           4.12.3          4.13.3          wheel
bs4                                      0.0.1           0.0.2           wheel
cachetools                               5.5.0           5.5.2           wheel
certifi                                  2024.2.2        2025.1.31       wheel
cffi                                     1.16.0          1.17.1          wheel
charset-normalizer                       3.3.2           3.4.1           wheel
chromadb                                 0.5.13          0.6.3           wheel
click                                    8.1.7           8.1.8           wheel
comm                                     0.2.1           0.2.2           wheel
contourpy                                1.2.1           1.3.1           wheel
cryptography                             43.0.1          44.0.2          wheel
dataclasses-json                         0.6.6           0.6.7           wheel
debugpy                                  1.8.1           1.8.13          wheel
decorator                                5.1.1           5.2.1           wheel
Deprecated                               1.2.14          1.2.18          wheel
dm-tree                                  0.1.8           0.1.9           wheel
emoji                                    2.14.0          2.14.1          wheel
eval_type_backport                       0.2.0           0.2.2           wheel
executing                                2.0.1           2.2.0           wheel
fastapi                                  0.115.2         0.115.11        wheel
filelock                                 3.14.0          3.17.0          wheel
flatbuffers                              23.5.26         25.2.10         wheel
fonttools                                4.51.0          4.56.0          wheel
frozenlist                               1.4.1           1.5.0           wheel
fsspec                                   2024.3.1        2025.3.0        wheel
gast                                     0.5.4           0.6.0           wheel
google-auth                              2.35.0          2.38.0          wheel
googleapis-common-protos                 1.65.0          1.69.1          wheel
gpt4all                                  2.2.1.post1     2.8.2           wheel
greenlet                                 3.0.3           3.1.1           wheel
grpcio                                   1.62.0          1.70.0          wheel
h5py                                     3.10.0          3.13.0          wheel
httpcore                                 1.0.4           1.0.7           wheel
httptools                                0.6.1           0.6.4           wheel
httpx                                    0.27.0          0.28.1          wheel
huesdk                                   1.7             1.8             wheel
huggingface-hub                          0.23.0          0.29.2          wheel
idna                                     3.6             3.10            wheel
importlib_metadata                       8.4.0           8.6.1           wheel
importlib_resources                      6.4.5           6.5.2           wheel
intel-openmp                             2021.4.0        2025.0.5        wheel
ipykernel                                6.29.3          6.29.5          wheel
ipython                                  8.22.1          9.0.2           wheel
jedi                                     0.19.1          0.19.2          wheel
Jinja2                                   3.1.4           3.1.6           wheel
joblib                                   1.3.2           1.4.2           wheel
jsonpointer                              2.4             3.0.0           wheel
jupyter_client                           8.6.0           8.6.3           wheel
jupyter_core                             5.7.1           5.7.2           wheel
keras                                    3.0.5           3.9.0           wheel
kiwisolver                               1.4.5           1.4.8           wheel
kubernetes                               31.0.0          32.0.1          wheel
langchain                                0.3.3           0.3.20          wheel
langchain-chroma                         0.1.4           0.2.2           wheel
langchain-community                      0.3.2           0.3.19          wheel
langchain-core                           0.3.10          0.3.43          wheel
langchain-text-splitters                 0.3.0           0.3.6           wheel
langsmith                                0.1.134         0.3.13          wheel
libclang                                 16.0.6          18.1.1          wheel
llvmlite                                 0.42.0          0.44.0          wheel
lxml                                     5.3.0           5.3.1           wheel
Markdown                                 3.5.2           3.7             wheel
MarkupSafe                               2.1.5           3.0.2           wheel
marshmallow                              3.21.2          3.26.1          wheel
matplotlib                               3.8.4           3.10.1          wheel
matplotlib-inline                        0.1.6           0.1.7           wheel
mkl                                      2021.4.0        2025.0.1        wheel
ml-dtypes                                0.3.2           0.5.1           wheel
mmh3                                     5.0.1           5.1.0           wheel
multidict                                6.0.5           6.1.0           wheel
namex                                    0.0.7           0.0.8           wheel
networkx                                 3.3             3.4.2           wheel
numba                                    0.59.0          0.61.0          wheel
numpy                                    1.26.4          2.2.3           wheel
ollama                                   0.2.0           0.4.7           wheel
